                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 2.3652,                 2.2897,                 0.1747,                0.61847,              0.0009901
                      1,                  2.291,                 2.2658,                0.18876,                 0.6506,              0.0009802
                      2,                 2.2751,                 3.7232,               0.082329,                0.49197,              0.0009703
                      3,                 2.2533,                 2.2187,                0.24297,                0.68474,              0.0009604
                      4,                 2.2227,                  2.187,                0.23896,                0.71285,              0.0009505
                      5,                 2.1976,                 2.1281,                0.27108,                0.76908,              0.0009406
                      6,                 2.1718,                  2.219,                0.22691,                0.70884,              0.0009307
                      7,                  2.143,                 2.1536,                0.23092,                 0.7751,              0.0009208
                      8,                 2.1072,                 2.0441,                0.30924,                0.81526,              0.0009109
                      9,                 2.0724,                 2.0642,                0.31325,                0.78715,               0.000901
                     10,                 2.0518,                 1.9168,                0.38153,                0.87149,              0.0008911
                     11,                 2.0189,                 1.9592,                0.34137,                0.85542,              0.0008812
                     12,                 2.0047,                 2.0547,                0.34337,                0.80522,              0.0008713
                     13,                 1.9711,                 1.9579,                0.37149,                0.82129,              0.0008614
                     14,                 1.9482,                 1.9346,                0.35341,                0.86747,              0.0008515
                     15,                 1.9245,                 1.7776,                0.44578,                0.89357,              0.0008416
                     16,                 1.9129,                 1.7928,                0.44779,                0.89357,              0.0008317
                     17,                 1.8837,                 1.7715,                0.43373,                0.89759,              0.0008218
                     18,                 1.8647,                 1.8012,                0.43373,                0.87751,              0.0008119
                     19,                 1.8559,                 1.7331,                0.48594,                0.89357,               0.000802
                     20,                 1.8465,                 1.7401,                0.44779,                0.88755,              0.0007921
                     21,                 1.8199,                 1.6724,                 0.4759,                0.90763,              0.0007822
                     22,                 1.8001,                 1.6831,                0.47189,                0.91968,              0.0007723
                     23,                  1.788,                 1.6166,                0.50803,                0.93173,              0.0007624
                     24,                 1.7665,                 1.6304,                0.50803,                0.93775,              0.0007525
                     25,                 1.7649,                 1.5902,                0.52008,                0.92972,              0.0007426
                     26,                 1.7487,                 1.6004,                0.53012,                0.91165,              0.0007327
                     27,                 1.7356,                 1.5787,                0.51606,                0.94779,              0.0007228
                     28,                 1.7308,                 1.5159,                0.55823,                0.93574,              0.0007129
                     29,                 1.7171,                 1.6181,                0.49197,                 0.9257,               0.000703
                     30,                 1.6985,                  1.565,                0.54217,                 0.9257,              0.0006931
                     31,                  1.687,                 1.4845,                0.58434,                0.94779,              0.0006832
                     32,                 1.6806,                 1.4905,                0.55221,                0.93775,              0.0006733
